Latitude,Longitude,名稱,類別,天數,日期,時段,定位用名稱,官方日文名,導航連結
35.7027156,139.5610291,🚉 三鷹站,🚉 交通,Day 4,8/23 星期日,08:40－09:25 🚇 前往三鷹,三鷹駅,三鷹駅,"https://www.google.com/maps/search/?api=1&query=35.7027156,139.5610291&query_place_id=ChIJQ6xBTbDvGGARWjMM50vhcgE"
35.6974952,139.7859834,🚉 JR 淺草橋站,🚉 交通,Day 4,8/23 星期日,08:40－09:25 🚇 前往三鷹,浅草橋駅,浅草橋駅,"https://www.google.com/maps/search/?api=1&query=35.6974952,139.7859834&query_place_id=ChIJr-AfyrOOGGARWBazD9OfYeg"
35.6962380,139.5704317,⛩️ 三鷹之森吉卜力美術館,⛩️ 景點,Day 4,8/23 星期日,09:25－09:50 🚌 搭乘吉卜力接駁巴士,三鷹の森ジブリ美術館,三鷹の森ジブリ美術館,"https://www.google.com/maps/search/?api=1&query=35.696238,139.5704317&query_place_id=ChIJLYwD5TTuGGARBZKEP5BV4U0"
35.7027156,139.5610291,🚉 JR 三鷹站,🚉 交通,Day 4,8/23 星期日,12:15－12:50 🚌🚃 前往吉祥寺,三鷹駅,三鷹駅,"https://www.google.com/maps/search/?api=1&query=35.7027156,139.5610291&query_place_id=ChIJQ6xBTbDvGGARWjMM50vhcgE"
35.7031125,139.5801608,🚉 吉祥寺站,🚉 交通,Day 4,8/23 星期日,12:15－12:50 🚌🚃 前往吉祥寺,吉祥寺駅,吉祥寺駅,"https://www.google.com/maps/search/?api=1&query=35.7031125,139.5801608&query_place_id=ChIJCalq8UfuGGARr6-Rc3R6atQ"
35.7043574,139.5789601,🍜 薩莉亞,🍜 餐廳,Day 4,8/23 星期日,12:50－14:20 🍽️ 午餐：薩莉亞,サイゼリヤ 吉祥寺駅北口,サイゼリヤ 吉祥寺駅北口,"https://www.google.com/maps/search/?api=1&query=35.7043574,139.5789601&query_place_id=ChIJi3cb1kfuGGARiZitA8UrSEQ"
35.7032718,139.5784738,🍜 大戶屋,🍜 餐廳,Day 4,8/23 星期日,12:50－14:20 🍽️ 午餐：薩莉亞,大戸屋ごはん処 吉祥寺店,大戸屋ごはん処 吉祥寺店,"https://www.google.com/maps/search/?api=1&query=35.7032718,139.5784738&query_place_id=ChIJ-34cDUjuGGARIZkFocT8a5o"
35.7052815,139.5786162,🍜 一風堂,🍜 餐廳,Day 4,8/23 星期日,12:50－14:20 🍽️ 午餐：薩莉亞,一風堂 吉祥寺店,一風堂 吉祥寺店,"https://www.google.com/maps/search/?api=1&query=35.7052815,139.5786162&query_place_id=ChIJZziKmUfuGGAR8iau_mxpQKw"
35.7028562,139.5789358,🍜 花丸烏龍麵,🍜 餐廳,Day 4,8/23 星期日,12:50－14:20 🍽️ 午餐：薩莉亞,はなまるうどん 吉祥寺南口店,はなまるうどん 吉祥寺南口店,"https://www.google.com/maps/search/?api=1&query=35.70285620000001,139.5789358&query_place_id=ChIJI3N-B0juGGARVFt2kRKykZs"
35.7035959,139.5790815,🛍️ 哈莫尼卡橫丁,🛍️ 購物,Day 4,8/23 星期日,14:20－15:00 🏮 逛哈莫尼卡橫丁,ハーモニカ横丁,ハーモニカ横丁,"https://www.google.com/maps/search/?api=1&query=35.7035959,139.5790815&query_place_id=ChIJZXco9RXvGGARYzRNqY-U-o8"
35.7039775,139.5791044,⛩️ 小ざさ,⛩️ 景點,Day 4,8/23 星期日,14:20－15:00 🏮 逛哈莫尼卡橫丁,小ざさ 吉祥寺本店,小ざさ 吉祥寺本店,"https://www.google.com/maps/search/?api=1&query=35.7039775,139.5791044&query_place_id=ChIJJzDG3kfuGGARele8Ej0Qwtc"
35.7049541,139.5795709,🛍️ Coppice 吉祥寺,🛍️ 購物,Day 4,8/23 星期日,14:20－15:00 🏮 逛哈莫尼卡橫丁,コピス吉祥寺,コピス吉祥寺,"https://www.google.com/maps/search/?api=1&query=35.7049541,139.5795709&query_place_id=ChIJB0eQ1EfuGGARaKthmgoKqwU"
35.7050678,139.5777986,🛍️ 東急百貨 吉祥寺店,🛍️ 購物,Day 4,8/23 星期日,14:20－15:00 🏮 逛哈莫尼卡橫丁,東急百貨店 吉祥寺店,東急百貨店 吉祥寺店,"https://www.google.com/maps/search/?api=1&query=35.7050678,139.5777986&query_place_id=ChIJhxa9k0juGGARrLLZkBu09Ac"
35.7052060,139.5788868,🛍️ 吉祥寺 Loft,🛍️ 購物,Day 4,8/23 星期日,14:20－15:00 🏮 逛哈莫尼卡橫丁,吉祥寺ロフト,吉祥寺ロフト,"https://www.google.com/maps/search/?api=1&query=35.705206,139.5788868&query_place_id=ChIJ80-AKEbuGGARmN-6SihPfpU"
35.7023874,139.5803008,⛩️ 武藏野市營公廁,⛩️ 景點,Day 4,8/23 星期日,14:20－15:00 🏮 逛哈莫尼卡橫丁,ミカレットきちじょうじ,ミカレットきちじょうじ,"https://www.google.com/maps/search/?api=1&query=35.7023874,139.5803008&query_place_id=ChIJl9bFUVTvGGARA5iIBLZOoxA"
35.7038412,139.5792430,🍜 天音,🍜 餐廳,Day 4,8/23 星期日,15:00－15:20 🍡 下午茶：天音鯛魚燒,有職たい菓子本舗 天音,有職たい菓子本舗 天音,"https://www.google.com/maps/search/?api=1&query=35.7038412,139.5792430&query_place_id=ChIJc5dW5kfuGGARQId7I7u99hc"
35.7039750,139.5790410,⛩️ SATOU,⛩️ 景點,Day 4,8/23 星期日,🥩 吉祥寺名物：SATOU 炸牛肉丸｜OPTION,黒毛和牛専門店 さとう 吉祥寺店,黒毛和牛専門店 さとう 吉祥寺店,"https://www.google.com/maps/search/?api=1&query=35.703975,139.579041&query_place_id=ChIJEerD2EfuGGARNzol9ZsrCkg"
35.7049401,139.5791020,🛍️ THANK YOU MART,🛍️ 購物,Day 4,8/23 星期日,15:20－15:50 🛍️ 逛平價雜貨與角色小物店,サンキューマート コピス吉祥寺店,サンキューマート コピス吉祥寺店,"https://www.google.com/maps/search/?api=1&query=35.7049401,139.5791020&query_place_id=ChIJl0FxI9jvGGARvamO7ToYYMM"
35.7044147,139.5800730,🛍️ Dream Market,🛍️ 購物,Day 4,8/23 星期日,15:20－15:50 🛍️ 逛平價雜貨與角色小物店,ドリームマーケット 吉祥寺店,ドリームマーケット 吉祥寺店,"https://www.google.com/maps/search/?api=1&query=35.7044147,139.5800730&query_place_id=ChIJcyJKMq3vGGAR5jSfQieBwN8"
35.7038362,139.5798441,🛍️ 吉祥寺 Sunroad 商店街,🛍️ 購物,Day 4,8/23 星期日,15:20－15:50 🛍️ 逛平價雜貨與角色小物店,吉祥寺サンロード商店街,吉祥寺サンロード商店街,"https://www.google.com/maps/search/?api=1&query=35.7038362,139.5798441&query_place_id=ChIJ8VJw6UfuGGARipDI2iZLP9o"
35.7043122,139.5794762,⛩️ gashacoco,⛩️ 景點,Day 4,8/23 星期日,15:20－15:50 🛍️ 逛平價雜貨與角色小物店,gashacoco 吉祥寺元町通り,gashacoco 吉祥寺元町通り,"https://www.google.com/maps/search/?api=1&query=35.7043122,139.5794762&query_place_id=ChIJK_uU_bfvGGARHQdBOz663BY"
35.7038362,139.5798441,🛍️ 大創,🛍️ 購物,Day 4,8/23 星期日,15:50－16:30 🛍️ 自由活動與休息,DAISO 吉祥寺サンロード店,DAISO 吉祥寺サンロード店,"https://www.google.com/maps/search/?api=1&query=35.7038362,139.5798441&query_place_id=ChIJ8VJw6UfuGGARipDI2iZLP9o"
35.7052060,139.5788868,🛍️ Loft,🛍️ 購物,Day 4,8/23 星期日,15:50－16:30 🛍️ 自由活動與休息,吉祥寺ロフト,吉祥寺ロフト,"https://www.google.com/maps/search/?api=1&query=35.705206,139.5788868&query_place_id=ChIJ80-AKEbuGGARmN-6SihPfpU"
35.7049541,139.5795709,🛍️ 無印良品,🛍️ 購物,Day 4,8/23 星期日,15:50－16:30 🛍️ 自由活動與休息,無印良品 コピス吉祥寺,無印良品 コピス吉祥寺,"https://www.google.com/maps/search/?api=1&query=35.7049541,139.5795709&query_place_id=ChIJB0eQ1EfuGGARaKthmgoKqwU"
35.7048979,139.5802557,🍜 串家物語,🍜 餐廳,Day 4,8/23 星期日,17:00－19:00 🍽️ 晚餐：串家物語,神楽食堂 串家物語 吉祥寺店,神楽食堂 串家物語 吉祥寺店,"https://www.google.com/maps/search/?api=1&query=35.7048979,139.5802557&query_place_id=ChIJNbTiyUfuGGAR6lter_U3i7g"
35.6970775,139.7847605,🏨 海茵娜酒店东京浅草桥,🏨 住宿,Day 4,8/23 星期日,19:00－19:50 🚆 返回淺草橋,変なホテル東京 浅草橋,変なホテル東京 浅草橋,"https://www.google.com/maps/search/?api=1&query=35.6970775,139.7847605&query_place_id=ChIJRWR7EbKOGGARUkONjElltUA"
