Latitude,Longitude,名稱,類別,天數,日期,時段,定位用名稱,官方日文名,導航連結
35.6974952,139.7859834,🚉 JR 淺草橋站,🚉 交通,Day 3,8/22 星期六,08:50 🚇 前往東京車站,浅草橋駅,浅草橋駅,"https://www.google.com/maps/search/?api=1&query=35.6974952,139.7859834&query_place_id=ChIJr-AfyrOOGGARWBazD9OfYeg"
35.6812996,139.7670659,🚉 東京站,🚉 交通,Day 3,8/22 星期六,08:50 🚇 前往東京車站,東京駅,東京駅,"https://www.google.com/maps/search/?api=1&query=35.6812996,139.7670659&query_place_id=ChIJC3Cf2PuLGGAROO00ukl8JwA"
35.6798702,139.7675145,🛍️ GRANSTA 東京,🛍️ 購物,Day 3,8/22 星期六,09:20－10:00 🍬 GRANSTA 東京駅內伴手禮採買,グランスタ東京,グランスタ東京,"https://www.google.com/maps/search/?api=1&query=35.6798702,139.7675145&query_place_id=ChIJoYwA2fuLGGARrTNyOELGyV8"
35.6826509,139.7667352,⛩️ 砂糖奶油樹 東京站店,⛩️ 景點,Day 3,8/22 星期六,09:20－10:00 🍬 GRANSTA 東京駅內伴手禮採買,シュガーバターの木 HANAGATAYA東京店,シュガーバターの木 HANAGATAYA東京店,"https://www.google.com/maps/search/?api=1&query=35.6826509,139.7667352&query_place_id=ChIJH3OfXg2LGGARwbxnP4cqU5A"
35.6803624,139.7666707,⛩️ 紐約完美起司 南通路店,⛩️ 景點,Day 3,8/22 星期六,09:20－10:00 🍬 GRANSTA 東京駅內伴手禮採買,NEWYORK PERFECT CHEESE 東京南通路店,NEWYORK PERFECT CHEESE 東京南通路店,"https://www.google.com/maps/search/?api=1&query=35.6803624,139.7666707&query_place_id=ChIJVXEPwPuLGGARRjynJ4y9nzM"
35.6811856,139.7673717,⛩️ 銀之鈴,⛩️ 景點,Day 3,8/22 星期六,09:20－10:00 🍬 GRANSTA 東京駅內伴手禮採買,銀の鈴,銀の鈴,"https://www.google.com/maps/search/?api=1&query=35.6811856,139.7673717&query_place_id=ChIJ9-LJdPyLGGARZeSwNOHJv3I"
35.6814247,139.7659944,🚉 東京車站丸之內站舍,🚉 交通,Day 3,8/22 星期六,10:10－10:45 📸 欣賞東京車站丸之內站舍建築,東京駅丸の内駅舎,東京駅丸の内駅舎,"https://www.google.com/maps/search/?api=1&query=35.6814247,139.7659944&query_place_id=ChIJE9qjZ0-LGGARQiAs8hULJsg"
35.6797983,139.7648650,🛍️ KITTE丸之內,🛍️ 購物,Day 3,8/22 星期六,10:45－11:00 🚶‍♂️ 移動至 KITTE,KITTE丸の内,KITTE丸の内,"https://www.google.com/maps/search/?api=1&query=35.6797983,139.7648650&query_place_id=ChIJdUbpSvqLGGARCmbc6R7hZJ8"
35.6795336,139.7654445,🛍️ KITTE花園,🛍️ 購物,Day 3,8/22 星期六,11:00－11:20 🌇 KITTE頂樓花園眺望東京車站,ＫＩＴＴＥガーデン,ＫＩＴＴＥガーデン,"https://www.google.com/maps/search/?api=1&query=35.6795336,139.7654445&query_place_id=ChIJtZRvRvqLGGARdS57rQP2NEk"
35.6800744,139.7646866,⛩️ Intermediatheque,⛩️ 景點,Day 3,8/22 星期六,11:00－11:20 🦴 參觀東京大學博物館 Intermediatheque（選配）,インターメディアテク,インターメディアテク,"https://www.google.com/maps/search/?api=1&query=35.6800744,139.7646866&query_place_id=ChIJF5AiNPqLGGAR2igPgxC2_Kw"
35.6790668,139.7679772,🍜 天丼てんや,🍜 餐廳,Day 3,8/22 星期六,11:20－11:35 🚶‍♂️ 移動至八重洲地下街,天丼てんや 八重洲店,天丼てんや 八重洲店,"https://www.google.com/maps/search/?api=1&query=35.6790668,139.7679772&query_place_id=ChIJzQEVm_yLGGAR1QSl3jr9CNU"
